_RAJ2000,_DEJ2000,X,CRTS,RAJ2000,DEJ2000,Vmax,l_Vmin,Vmin,Ndet,Det,Ref,Simbad,recno
03 40 10.1600,+39 12 45.300,,J034010.2+391245,03 40 10.16,+39 12 45.3,17.4,>,19.9,1,CSS100216:034010+391245,,Simbad,109
03 40 29.5400,-45 01 34.300,,J034029.5-450134,03 40 29.54,-45 01 34.3,18.0,>,21.3,1,SSS110916:034030-450134,,Simbad,110
03 42 03.6500,+23 27 33.200,,J034203.7+232733,03 42 03.65,+23 27 33.2,18.5,,,1,MLS100911:034204+232733,,Simbad,111
03 42 06.3700,+32 37 07.500,,J034206.4+323707,03 42 06.37,+32 37 07.5,17.6,,,2,CSS081025:034206+323707,,Simbad,112
03 44 01.9900,+21 57 07.400,,J034402.0+215707,03 44 01.99,+21 57 07.4,15.1,,20.5,1,V0701 Tau,,Simbad,113
03 44 55.1600,+28 29 59.500,,J034455.2+282960,03 44 55.16,+28 29 59.5,19.3,>,22.3,1,MLS101105:034455+282959,,Simbad,114
03 45 15.4300,-01 52 16.200,,J034515.4-015216,03 45 15.43,-01 52 16.2,15.5,,18.6,6,CSS090219:034515-015216,,Simbad,115
03 47 03.5800,+19 51 13.600,,J034703.6+195114,03 47 03.58,+19 51 13.6,16.8,,,2,CSS101202:034704+195112,,Simbad,116
03 50 03.4400,+37 00 51.900,,J035003.4+370052,03 50 03.44,+37 00 51.9,18.3,,,2,CSS100113:035003+370052,,Simbad,117
03 50 10.7100,+32 32 29.600,,J035010.7+323230,03 50 10.71,+32 32 29.6,16.8,,18.4,1,CSS091218:035011+323230,,Simbad,118
03 50 34.8700,+35 32 46.900,,J035034.9+353247,03 50 34.87,+35 32 46.9,15.7,,17.5,1,CSS081030:035035+353247,II,Simbad,119
03 53 18.2000,-03 48 47.200,,J035318.2-034847,03 53 18.20,-03 48 47.2,15.1,,17.9,1,CSS111231:035318-034847,,Simbad,120
03 53 23.8700,-16 42 50.200,,J035323.9-164250,03 53 23.87,-16 42 50.2,17.7,,,1,CSS081010:035324-164250,,Simbad,121
